StudentName,TestAverage,QuizAverage,AssignmentAverage,ProjectAverage,FinalExamScore
Liam,89.25,93.16,81.59,82.01,88.5
Sophia,70.76,92.56,71.59,97.17,90.75
Mateo,68.21,58.7,79.6,81.72,96.82
Isabella,78.9,83.57,92.83,90.74,92.38
Elias,86.89,98.12,72.96,59.43,59.07
Olivia,94.6,96.87,76.68,77.09,82.35
Amir,94.0,85.86,97.63,98.64,80.72
Charlotte,88.28,73.2,83.96,74.13,91.84
Silas,75.39,82.7,88.51,93.3,97.34
Ava,89.25,89.95,89.07,61.08,76.4
Kai,71.84,82.76,84.28,79.18,98.57
Mia,72.28,93.91,78.39,84.55,73.11
Julian,72.13,81.47,81.04,91.59,79.18
Zoe,93.29,62.17,97.22,83.94,72.66
Ezra,70.33,75.04,72.97,56.68,71.37
Riley,63.07,85.78,82.75,70.95,86.02
Naomi,91.11,99.34,65.52,61.42,88.61
Leo,88.07,84.51,76.68,84.38,96.52
Nora,81.54,95.41,56.72,56.86,91.66
Asher,60.2,97.72,83.52,60.35,62.92
Elena,66.07,70.6,73.92,62.08,85.74
Micah,82.57,75.98,96.35,75.01,78.05
Lucia,85.49,87.54,72.15,64.9,75.95
